Date,Open,High,Low,Close,Volume,Volume IOTA,Market Cap
11/12/2020,0.2509519,0.2577877,0.2473453,0.2482945,"9,311,625.21","36,954,205.91","700,378,850.79"
11/11/2020,0.2543492,0.2596209,0.2504461,0.2509957,"9,066,238.52","35,538,766.39","709,081,576.96"
11/10/2020,0.2514512,0.2572930,0.2494646,0.2542721,"9,905,527.98","38,995,841.90","706,042,327.45"
11/09/2020,0.2653161,0.2674137,0.2453882,0.2513654,"18,109,927.61","71,095,133.86","708,024,438.42"
11/08/2020,0.2561626,0.2672066,0.2538974,0.2656797,"7,743,128.67","29,502,681.84","729,501,837.80"
11/07/2020,0.2662621,0.2761465,0.2515758,0.2564197,"13,519,348.19","50,982,722.36","737,062,203.73"
11/06/2020,0.2485809,0.2681416,0.2479534,0.2662713,"13,462,656.32","52,036,718.10","719,104,937.60"
11/05/2020,0.2360641,0.2504091,0.2294057,0.2485748,"11,986,401.88","50,095,300.30","665,063,724.60"
11/04/2020,0.2445450,0.2461938,0.2261915,0.2355069,"11,010,506.84","46,138,041.14","663,314,619.20"
11/03/2020,0.2466070,0.2472478,0.2365797,0.2437090,"8,431,224.59","35,004,107.13","669,488,411.06"
11/02/2020,0.2518922,0.2583985,0.2450936,0.2466913,"6,606,443.29","26,325,376.74","697,532,626.44"
11/01/2020,0.2531587,0.2542907,0.2479964,0.2516368,"6,145,657.67","24,469,879.49","698,084,419.09"
10/31/2020,0.2568228,0.2619593,0.2528562,0.2531689,"5,501,920.83","21,390,332.81","714,937,710.34"
10/30/2020,0.2589982,0.2610395,0.2517075,0.2569279,"7,701,558.22","29,943,868.08","714,894,757.13"
10/29/2020,0.2686635,0.2732034,0.2546445,0.2593147,"8,547,276.92","32,370,350.24","733,925,177.12"
10/28/2020,0.2768233,0.2785244,0.2638278,0.2683549,"8,711,722.64","32,159,490.67","752,950,260.89"
10/27/2020,0.2736674,0.2834123,0.2714480,0.2767498,"9,173,286.51","33,261,136.95","766,583,165.43"
10/26/2020,0.2776728,0.2845455,0.2678874,0.2737087,"8,185,572.19","29,514,399.49","770,879,508.74"
10/25/2020,0.2871269,0.2901590,0.2759538,0.2775463,"6,646,054.94","23,631,626.03","781,702,915.06"
10/24/2020,0.2754782,0.2878581,0.2743551,0.2871108,"6,681,342.29","23,720,543.83","782,907,565.15"
10/23/2020,0.2819184,0.2819184,0.2714434,0.2756050,"8,619,161.37","31,030,360.65","772,057,415.77"
10/22/2020,0.2811188,0.2907983,0.2811188,0.2819413,"9,344,033.80","32,680,065.39","794,736,014.40"
10/21/2020,0.2640371,0.2838407,0.2633275,0.2806661,"9,080,945.46","33,143,158.00","761,567,829.66"
10/20/2020,0.2762794,0.2765908,0.2627723,0.2639738,"7,085,442.41","26,379,798.80","746,563,759.26"
10/19/2020,0.2721533,0.2792000,0.2667910,0.2763310,"6,289,992.88","23,002,143.31","760,069,418.59"
10/18/2020,0.2693521,0.2736276,0.2690293,0.2721149,"3,322,976.58","12,209,538.55","756,483,466.12"
10/17/2020,0.2637987,0.2723560,0.2608873,0.2692723,"4,270,495.89","15,986,621.50","742,494,132.32"
10/16/2020,0.2761936,0.2804837,0.2626503,0.2638427,"6,669,783.69","24,829,851.75","746,636,183.95"
10/15/2020,0.2739434,0.2760351,0.2656913,0.2760351,"7,308,255.21","26,900,643.46","755,131,255.53"
10/14/2020,0.2839933,0.2873564,0.2700339,0.2740571,"8,119,379.51","29,036,126.24","777,240,773.43"
10/13/2020,0.2884153,0.2934076,0.2807403,0.2840897,"6,779,798.66","23,658,731.80","796,520,111.60"
10/12/2020,0.2821334,0.2935382,0.2738605,0.2886488,"10,410,192.15","36,891,367.41","784,341,876.60"
10/11/2020,0.2757221,0.2850583,0.2750073,0.2823650,"15,464,038.26","55,173,023.09","779,053,969.33"
10/09/2020,0.2624811,0.2707031,0.2603973,0.2707031,"7,597,505.25","28,766,200.29","734,107,936.00"
10/08/2020,0.2573600,0.2623169,0.2473866,0.2619946,"6,558,421.07","25,672,475.83","710,072,923.18"
10/07/2020,0.2531385,0.2582613,0.2442116,0.2572260,"6,818,118.23","26,958,045.70","702,987,386.47"
10/06/2020,0.2710198,0.2711262,0.2516624,0.2531555,"9,912,909.35","37,699,425.97","730,866,081.08"
10/05/2020,0.2749966,0.2782038,0.2679635,0.2711594,"6,713,635.75","24,660,884.08","756,694,440.62"
10/04/2020,0.2688511,0.2766193,0.2666567,0.2749506,"6,874,326.62","25,175,232.09","758,976,082.65"
10/02/2020,0.2721049,0.2783205,0.2545475,0.2684095,"14,151,940.75","53,358,783.91","737,193,485.45"
10/01/2020,0.2833433,0.2879442,0.2657788,0.2720466,"10,799,207.08","38,560,235.87","778,437,227.63"
09/30/2020,0.2737768,0.2874664,0.2639176,0.2831194,"9,729,612.92","35,613,853.83","759,360,497.51"
09/29/2020,0.2679399,0.2781646,0.2633702,0.2737321,"7,940,500.28","29,141,816.97","757,360,497.43"
09/28/2020,0.2619034,0.2798017,0.2605592,0.2685753,"10,382,757.05","38,672,212.17","746,251,275.22"
09/27/2020,0.2634156,0.2665504,0.2516618,0.2594688,"5,972,939.67","23,187,477.90","715,988,464.19"
09/26/2020,0.2558286,0.2638696,0.2514977,0.2632339,"5,842,774.77","22,692,407.82","715,665,324.86"
09/25/2020,0.2471909,0.2611903,0.2390674,0.2554785,"8,521,747.60","34,168,505.06","693,224,813.01"
09/24/2020,0.2327279,0.2510970,0.2307618,0.2471528,"5,892,134.97","24,414,477.14","670,805,583.59"
09/23/2020,0.2440143,0.2527164,0.2318820,0.2328165,"7,770,039.52","32,083,007.09","673,161,966.70"
09/22/2020,0.2407989,0.2458913,0.2317749,0.2438586,"7,590,351.94","31,515,573.07","669,434,537.32"
09/21/2020,0.2627901,0.2674790,0.2353011,0.2409911,"12,128,259.71","48,023,525.91","701,965,640.95"
09/20/2020,0.2717110,0.2717110,0.2563156,0.2626806,"8,257,053.89","31,397,894.46","730,964,025.55"
09/19/2020,0.2726058,0.2780674,0.2710262,0.2718567,"4,909,606.00","17,945,627.85","760,430,265.35"
09/18/2020,0.2806169,0.2815899,0.2691895,0.2724102,"8,367,670.74","30,405,963.08","764,922,136.15"
09/17/2020,0.2704609,0.2840979,0.2687242,0.2803720,"7,887,077.29","28,589,680.45","766,793,116.52"
09/16/2020,0.2732493,0.2792566,0.2680768,0.2707004,"7,276,095.58","26,536,113.18","762,136,032.04"
09/15/2020,0.2838297,0.2878800,0.2722781,0.2736559,"8,117,254.52","28,975,728.65","778,657,027.77"
09/14/2020,0.2803207,0.2913522,0.2732527,0.2836524,"9,522,364.16","33,636,410.00","786,876,469.71"
09/13/2020,0.2984358,0.2990713,0.2744915,0.2804059,"11,684,538.81","40,833,452.88","795,365,739.87"
09/12/2020,0.2917451,0.2988742,0.2831731,0.2988742,"9,196,638.33","31,763,977.19","804,758,629.30"
09/11/2020,0.3003311,0.3006633,0.2814858,0.2921633,"11,204,394.21","38,556,684.37","807,718,648.74"
09/10/2020,0.2861538,0.3027554,0.2861538,0.2988299,"12,598,776.13","42,695,221.25","820,201,389.22"
09/09/2020,0.2751065,0.2936193,0.2712458,0.2855934,"11,006,302.25","38,581,566.63","792,926,598.67"
09/08/2020,0.2846111,0.2944295,0.2658803,0.2755402,"17,789,917.19","63,952,585.57","773,191,781.46"
09/07/2020,0.2860548,0.2879572,0.2630168,0.2821765,"15,984,068.28","58,029,745.67","765,610,831.26"
09/06/2020,0.2631499,0.2926831,0.2535249,0.2859408,"19,783,771.39","71,464,218.49","769,470,272.83"
09/05/2020,0.2876989,0.2948337,0.2499227,0.2635244,"21,965,956.54","79,884,129.29","764,295,010.11"
09/04/2020,0.2740557,0.2977158,0.2697862,0.2887466,"30,372,522.26","106,772,392.31","790,666,421.91"
09/03/2020,0.3372195,0.3408514,0.2653059,0.2744384,"29,475,362.47","92,551,406.71","885,212,505.12"
09/02/2020,0.3649158,0.3671918,0.3196966,0.3373936,"32,327,100.17","93,702,187.93","958,933,359.67"
09/01/2020,0.3613986,0.3758142,0.3563462,0.3649177,"39,955,250.01","109,050,352.48","1,018,399,526.81"
08/31/2020,0.3646336,0.3700171,0.3561988,0.3615864,"32,007,510.76","88,082,494.77","1,010,028,674.52"
08/30/2020,0.3678659,0.3752143,0.3580861,0.3641181,"32,474,084.10","88,886,569.65","1,015,481,872.27"
